"...1","LEAD    (ppb)","FLOURIDE     (ppm)","IRON      (ppm)","MERCURY   (ppm)","TOTAL   CHLORINE (ppm)","NITRITE   (ppm)","NITRATE   (ppm)","pH (ppm)","TOTAL  ALKALINITY (ppm)","HARDNESS   (ppm)","ALUMINUM (ppm)","SULFATE (ppm)","ZINC    (ppm)","FREE CHHLORINE (ppm)","TDS (ppm)"
"LOC 1 (Open Water-Surface)",0,0.5,0.3,0,0,0,0,7.5,180,425,0,200,2,5,119
"LOC 1 (Open water - Deep)",0,0,0,0,0,0,0,7,120,425,10,400,2,1,121
"LOC 2 (Open Water- Surface)",5,0,0,0,1,1,10,7.5,180,100,0,200,0,5,118
"LOC 2 (Open Water - Deep)",0,0.5,0,0,0,0,0,7,120,250,10,400,2,5,133
"LOC 3 (Open Water - Surface)",0,0.5,0.3,0,1,1,10,6.5,80,250,5,400,5,5,121
"LOC 3 (Open Water - Deep)",5,0.5,0,0,0,1,10,7,120,100,5,400,2,1,117
"LOC 4 (Open Water- Surface)",0,0.5,0.3,0,0,0,0,6.5,120,425,10,400,2,1,136
"LOC 4 (Open Water - Deep)",5,0.5,0.3,0.002,0,0,0,6,80,425,25,800,2,0.5,154
"LOC 5 (Open Water - Surface)",0,0.5,0,0,1,0,0,7.5,180,100,0,400,2,0.5,123
"LOC 5 (Open Water - Deep)",0,0.5,0,0,0,1,10,7,120,250,5,400,2,3,134
