"...1","LEAD    (ppb)","FLOURIDE     (ppm)","IRON      (ppm)","MERCURY   (ppm)","TOTAL   CHLORINE (ppm)","NITRITE   (ppm)","NITRATE   (ppm)","pH (ppm)","TOTAL  ALKALINITY (ppm)","HARDNESS   (ppm)","ALUMINUM (ppm)","SULFATE (ppm)","ZINC    (ppm)","FREE CHHLORINE (ppm)","TDS (ppm)"
"LOC 1 (Shoreline-Surface)",5,0.5,0.3,0,0,0,10,7.5,180,250,10,400,5,1,135
"LOC 1 (Shoreline-Deep)",0,0.5,0.3,0.002,0,5,0,6.5,180,1000,10,400,2,0.5,142
"LOC 2 (Shoreline - Surface)",0,1,0.3,0,3,5,25,7,180,250,25,0,2,1,115
"LOC 2 (Shoreline - Deep)",5,1,0,0,3,5,25,7,180,100,10,400,2,5,114
"LOC 3 (Shoreline - Surface)",0,0.5,0,0,0,0,0,7,120,100,25,200,2,5,113
"LOC 3 (Shoreline - Deep)",0,0,0,0,0,0,0,6.5,120,250,5,400,2,1,116
"LOC 4 (Shoreline - Surface)",5,0.5,0,0.002,0,0,0,6,80,250,10,800,2,0.5,143
"LOC 4 (Shoreline - Deep)",15,0.5,0.3,0.002,0,0,0,6,80,425,25,800,2,0.5,151
"LOC 5 (Shoreline - Surface)",0,0.5,0,0.002,1,1,0,7,120,100,5,200,2,1,115
"LOC 5 (Shoreline - Deep)",0,0,0.3,0.002,0,0,0,6.5,120,250,10,200,2,0.5,121
