"variable","p_value"
"LEAD    (ppb)",0.39544078291616
"FLOURIDE     (ppm)",0.435028849804162
"IRON      (ppm)",0.67332203695053
"MERCURY   (ppm)",0.0577318967849769
"TOTAL   CHLORINE (ppm)",0.364963936625666
"NITRITE   (ppm)",0.148701384824407
"NITRATE   (ppm)",0.597571603822406
"pH (ppm)",0.269067528074182
"TOTAL  ALKALINITY (ppm)",0.737867865592875
"HARDNESS   (ppm)",0.817313202321895
"ALUMINUM (ppm)",0.0810992711723976
"SULFATE (ppm)",0.838356213668804
"ZINC    (ppm)",0.683990317466894
"FREE CHHLORINE (ppm)",0.225417803977829
"TDS (ppm)",0.854744715290988
